θnames,θindices,hullmethod,coverage_median,coverage_mean,coverage_lb,coverage_ub,num_boundary_points,method_key,num_points
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9135653016048699,0.9076519774402929,0.8273284879249346,0.9679205430615584,40,1,40
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9603567499607104,0.9532016918315163,0.8945581306680465,0.9852582735826713,40,1,40
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9635890151515152,0.9522304816576737,0.8782415937356057,0.9939430230448194,50,1,50
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.896551724137931,0.8820509141465717,0.7609367440735366,0.9628090575275398,50,1,50
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.957028627235549,0.9453922516562944,0.8626690676270509,0.9875427987230307,50,1,50
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9736145920356447,0.9685005795378455,0.9240573926578464,0.9949276649746193,50,1,50
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9314005602240896,0.9275539338007345,0.8616806050916246,0.9761904761904762,50,1,50
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9701377742108079,0.965103168403164,0.9240556318681319,0.9906570990422731,50,1,50
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9724124809741248,0.9630730228364519,0.9022140359640359,0.994682258246088,60,1,60
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.915036094224924,0.9030594261730359,0.8014862143204389,0.9717087131651474,60,1,60
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9667281672816728,0.9561653355031774,0.8856338694418164,0.9920799906077564,60,1,60
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9792385057471265,0.9747975606014939,0.9408703365599916,0.9956728536127678,60,1,60
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9447496947496947,0.9401407989551238,0.8804997265518184,0.9831259085912846,60,1,60
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9768846845096419,0.9723840848422921,0.9347887299907847,0.993833383114297,60,1,60
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9790685447654932,0.9709592800787984,0.9185874470357229,1.0,70,1,70
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9277320799059929,0.9190733050609964,0.8307512370670266,0.9794590438915293,70,1,70
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9756836945304437,0.9649945671810578,0.9048708720585327,0.9941695386325736,70,1,70
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9831342151424642,0.9791887946551852,0.9468014184397163,1.0,70,1,70
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.952682712298097,0.9492549962003539,0.9021334029954718,0.9873496835443039,70,1,70
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9812206572769953,0.9778934206774234,0.9483192615107509,0.9954989912306986,70,1,70
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9846448570586501,0.9748412624228024,0.9228969555719536,1.0,80,1,80
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9326626361861579,0.9279767587002661,0.8514103343465046,0.9817343772550151,80,1,80
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9797979797979798,0.9720075882859577,0.9245933619448667,0.9957805907172996,80,1,80
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9872879073525451,0.9831578631824118,0.953576039143185,1.0,80,1,80
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9565217391304348,0.9539025956344466,0.9108728504429391,0.9886520592667002,80,1,80
