parameter,find_zero_atol,xtol_rel,optimisation_calls,likelihood_calls
1,1.0e-10,1.0e-12,31,2074
2,1.0e-10,1.0e-12,23,1837
3,1.0e-10,1.0e-12,32,1957
1,1.0e-10,1.0e-11,31,1971
2,1.0e-10,1.0e-11,23,1718
3,1.0e-10,1.0e-11,32,1808
1,1.0e-10,1.0e-10,31,1868
2,1.0e-10,1.0e-10,23,1603
3,1.0e-10,1.0e-10,32,1681
1,1.0e-10,1.0e-9,31,1736
2,1.0e-10,1.0e-9,23,1502
3,1.0e-10,1.0e-9,32,1549
1,1.0e-10,1.0e-8,31,1619
2,1.0e-10,1.0e-8,23,1397
3,1.0e-10,1.0e-8,32,1422
1,1.0e-10,1.0e-7,31,1502
2,1.0e-10,1.0e-7,23,1301
3,1.0e-10,1.0e-7,32,1277
1,1.0e-10,1.0e-6,31,1292
2,1.0e-10,1.0e-6,23,1209
3,1.0e-10,1.0e-6,32,1189
1,1.0e-10,1.0e-5,31,1169
2,1.0e-10,1.0e-5,23,1111
3,1.0e-10,1.0e-5,32,1065
1,1.0e-10,0.0001,33,1057
2,1.0e-10,0.0001,23,1035
3,1.0e-10,0.0001,32,953
1,1.0e-10,0.001,33,891
2,1.0e-10,0.001,23,889
3,1.0e-10,0.001,32,826
1,1.0e-10,0.01,33,715
2,1.0e-10,0.01,24,771
3,1.0e-10,0.01,31,637
1,1.0e-9,0.0,31,6099
2,1.0e-9,0.0,23,5426
3,1.0e-9,0.0,30,6182
1,1.0e-9,1.0e-20,31,3007
2,1.0e-9,1.0e-20,23,2660
3,1.0e-9,1.0e-20,30,2779
1,1.0e-9,1.0e-19,31,2938
2,1.0e-9,1.0e-19,23,2624
3,1.0e-9,1.0e-19,30,2733
1,1.0e-9,1.0e-18,31,2861
2,1.0e-9,1.0e-18,23,2560
3,1.0e-9,1.0e-18,30,2653
1,1.0e-9,1.0e-17,31,2752
2,1.0e-9,1.0e-17,23,2454
3,1.0e-9,1.0e-17,30,2564
1,1.0e-9,1.0e-16,31,2578
2,1.0e-9,1.0e-16,23,2335
3,1.0e-9,1.0e-16,30,2418
1,1.0e-9,1.0e-15,31,2428
2,1.0e-9,1.0e-15,23,2167
3,1.0e-9,1.0e-15,30,2199
1,1.0e-9,1.0e-14,31,2303
2,1.0e-9,1.0e-14,23,2050
3,1.0e-9,1.0e-14,30,2076
1,1.0e-9,1.0e-13,31,2179
2,1.0e-9,1.0e-13,23,1933
3,1.0e-9,1.0e-13,30,1955
1,1.0e-9,1.0e-12,31,2074
2,1.0e-9,1.0e-12,23,1837
3,1.0e-9,1.0e-12,30,1818
1,1.0e-9,1.0e-11,31,1971
2,1.0e-9,1.0e-11,23,1718
3,1.0e-9,1.0e-11,30,1683
1,1.0e-9,1.0e-10,31,1868
2,1.0e-9,1.0e-10,23,1603
3,1.0e-9,1.0e-10,30,1569
1,1.0e-9,1.0e-9,31,1736
2,1.0e-9,1.0e-9,23,1502
3,1.0e-9,1.0e-9,30,1452
1,1.0e-9,1.0e-8,31,1619
2,1.0e-9,1.0e-8,23,1397
3,1.0e-9,1.0e-8,30,1321
1,1.0e-9,1.0e-7,31,1502
2,1.0e-9,1.0e-7,23,1301
3,1.0e-9,1.0e-7,30,1187
1,1.0e-9,1.0e-6,31,1292
2,1.0e-9,1.0e-6,23,1209
3,1.0e-9,1.0e-6,30,1109
1,1.0e-9,1.0e-5,31,1169
2,1.0e-9,1.0e-5,23,1111
3,1.0e-9,1.0e-5,30,993
1,1.0e-9,0.0001,33,1057
2,1.0e-9,0.0001,23,1035
3,1.0e-9,0.0001,30,891
1,1.0e-9,0.001,33,891
2,1.0e-9,0.001,23,889
3,1.0e-9,0.001,30,771
1,1.0e-9,0.01,33,715
2,1.0e-9,0.01,24,771
3,1.0e-9,0.01,30,621
1,1.0e-8,0.0,31,6099
2,1.0e-8,0.0,23,5426
3,1.0e-8,0.0,30,6182
1,1.0e-8,1.0e-20,31,3007
2,1.0e-8,1.0e-20,23,2660
3,1.0e-8,1.0e-20,30,2779
1,1.0e-8,1.0e-19,31,2938
2,1.0e-8,1.0e-19,23,2624
3,1.0e-8,1.0e-19,30,2733
1,1.0e-8,1.0e-18,31,2861
2,1.0e-8,1.0e-18,23,2560
3,1.0e-8,1.0e-18,30,2653
1,1.0e-8,1.0e-17,31,2752
2,1.0e-8,1.0e-17,23,2454
3,1.0e-8,1.0e-17,30,2564
1,1.0e-8,1.0e-16,31,2578
2,1.0e-8,1.0e-16,23,2335
3,1.0e-8,1.0e-16,30,2418
1,1.0e-8,1.0e-15,31,2428
2,1.0e-8,1.0e-15,23,2167
3,1.0e-8,1.0e-15,30,2199
1,1.0e-8,1.0e-14,31,2303
2,1.0e-8,1.0e-14,23,2050
3,1.0e-8,1.0e-14,30,2076
1,1.0e-8,1.0e-13,31,2179
2,1.0e-8,1.0e-13,23,1933
3,1.0e-8,1.0e-13,30,1955
1,1.0e-8,1.0e-12,31,2074
2,1.0e-8,1.0e-12,23,1837
3,1.0e-8,1.0e-12,30,1818
1,1.0e-8,1.0e-11,31,1971
2,1.0e-8,1.0e-11,23,1718
3,1.0e-8,1.0e-11,30,1683
1,1.0e-8,1.0e-10,31,1868
2,1.0e-8,1.0e-10,23,1603
3,1.0e-8,1.0e-10,30,1569
1,1.0e-8,1.0e-9,31,1736
2,1.0e-8,1.0e-9,23,1502
3,1.0e-8,1.0e-9,30,1452
1,1.0e-8,1.0e-8,31,1619
2,1.0e-8,1.0e-8,23,1397
3,1.0e-8,1.0e-8,30,1321
1,1.0e-8,1.0e-7,31,1502
2,1.0e-8,1.0e-7,23,1301
3,1.0e-8,1.0e-7,30,1187
1,1.0e-8,1.0e-6,31,1292
2,1.0e-8,1.0e-6,23,1209
3,1.0e-8,1.0e-6,30,1109
1,1.0e-8,1.0e-5,31,1169
2,1.0e-8,1.0e-5,23,1111
3,1.0e-8,1.0e-5,30,993
1,1.0e-8,0.0001,33,1057
2,1.0e-8,0.0001,23,1035
3,1.0e-8,0.0001,30,891
1,1.0e-8,0.001,33,891
2,1.0e-8,0.001,23,889
3,1.0e-8,0.001,30,771
1,1.0e-8,0.01,32,688
2,1.0e-8,0.01,24,771
3,1.0e-8,0.01,30,621
1,1.0e-7,0.0,30,5857
2,1.0e-7,0.0,22,5209
3,1.0e-7,0.0,30,6182
1,1.0e-7,1.0e-20,30,2891
2,1.0e-7,1.0e-20,22,2574
3,1.0e-7,1.0e-20,30,2779
1,1.0e-7,1.0e-19,30,2823
2,1.0e-7,1.0e-19,22,2537
3,1.0e-7,1.0e-19,30,2733
1,1.0e-7,1.0e-18,30,2749
2,1.0e-7,1.0e-18,22,2476
3,1.0e-7,1.0e-18,30,2653
1,1.0e-7,1.0e-17,30,2647
2,1.0e-7,1.0e-17,22,2373
3,1.0e-7,1.0e-17,30,2564
1,1.0e-7,1.0e-16,30,2474
2,1.0e-7,1.0e-16,22,2259
3,1.0e-7,1.0e-16,30,2418
1,1.0e-7,1.0e-15,30,2345
2,1.0e-7,1.0e-15,22,2101
3,1.0e-7,1.0e-15,30,2199
1,1.0e-7,1.0e-14,30,2219
2,1.0e-7,1.0e-14,22,1984
3,1.0e-7,1.0e-14,30,2076
1,1.0e-7,1.0e-13,30,2104
2,1.0e-7,1.0e-13,22,1870
3,1.0e-7,1.0e-13,30,1955
1,1.0e-7,1.0e-12,30,2008
2,1.0e-7,1.0e-12,22,1780
3,1.0e-7,1.0e-12,30,1818
1,1.0e-7,1.0e-11,30,1909
2,1.0e-7,1.0e-11,22,1667
3,1.0e-7,1.0e-11,30,1683
1,1.0e-7,1.0e-10,30,1806
2,1.0e-7,1.0e-10,22,1556
3,1.0e-7,1.0e-10,30,1569
1,1.0e-7,1.0e-9,30,1677
2,1.0e-7,1.0e-9,22,1463
3,1.0e-7,1.0e-9,30,1452
1,1.0e-7,1.0e-8,30,1563
2,1.0e-7,1.0e-8,22,1364
3,1.0e-7,1.0e-8,30,1321
1,1.0e-7,1.0e-7,30,1453
2,1.0e-7,1.0e-7,22,1260
3,1.0e-7,1.0e-7,30,1187
1,1.0e-7,1.0e-6,30,1247
2,1.0e-7,1.0e-6,22,1173
3,1.0e-7,1.0e-6,30,1109
1,1.0e-7,1.0e-5,30,1128
2,1.0e-7,1.0e-5,22,1079
3,1.0e-7,1.0e-5,30,993
1,1.0e-7,0.0001,31,982
2,1.0e-7,0.0001,22,1006
3,1.0e-7,0.0001,30,891
1,1.0e-7,0.001,31,827
2,1.0e-7,0.001,22,864
3,1.0e-7,0.001,30,771
1,1.0e-7,0.01,31,661
2,1.0e-7,0.01,22,699
3,1.0e-7,0.01,30,621
1,1.0e-6,0.0,30,5857
2,1.0e-6,0.0,21,4954
3,1.0e-6,0.0,30,6182
1,1.0e-6,1.0e-20,30,2891
2,1.0e-6,1.0e-20,21,2445
3,1.0e-6,1.0e-20,30,2779
1,1.0e-6,1.0e-19,30,2823
2,1.0e-6,1.0e-19,21,2410
3,1.0e-6,1.0e-19,30,2733
1,1.0e-6,1.0e-18,30,2749
2,1.0e-6,1.0e-18,21,2352
3,1.0e-6,1.0e-18,30,2653
1,1.0e-6,1.0e-17,30,2647
2,1.0e-6,1.0e-17,21,2256
3,1.0e-6,1.0e-17,30,2564
1,1.0e-6,1.0e-16,30,2474
2,1.0e-6,1.0e-16,21,2142
3,1.0e-6,1.0e-16,30,2418
1,1.0e-6,1.0e-15,30,2345
2,1.0e-6,1.0e-15,21,1998
3,1.0e-6,1.0e-15,30,2199
1,1.0e-6,1.0e-14,30,2219
2,1.0e-6,1.0e-14,21,1886
3,1.0e-6,1.0e-14,30,2076
1,1.0e-6,1.0e-13,30,2104
2,1.0e-6,1.0e-13,21,1769
3,1.0e-6,1.0e-13,30,1955
1,1.0e-6,1.0e-12,30,2008
2,1.0e-6,1.0e-12,21,1687
3,1.0e-6,1.0e-12,30,1818
1,1.0e-6,1.0e-11,30,1909
2,1.0e-6,1.0e-11,21,1577
3,1.0e-6,1.0e-11,30,1683
1,1.0e-6,1.0e-10,30,1806
2,1.0e-6,1.0e-10,21,1469
3,1.0e-6,1.0e-10,30,1569
1,1.0e-6,1.0e-9,30,1677
2,1.0e-6,1.0e-9,21,1381
3,1.0e-6,1.0e-9,30,1452
1,1.0e-6,1.0e-8,30,1563
2,1.0e-6,1.0e-8,21,1287
3,1.0e-6,1.0e-8,30,1321
1,1.0e-6,1.0e-7,30,1453
2,1.0e-6,1.0e-7,21,1186
3,1.0e-6,1.0e-7,30,1187
1,1.0e-6,1.0e-6,30,1247
2,1.0e-6,1.0e-6,21,1104
3,1.0e-6,1.0e-6,30,1109
1,1.0e-6,1.0e-5,30,1128
2,1.0e-6,1.0e-5,21,1015
3,1.0e-6,1.0e-5,30,993
1,1.0e-6,0.0001,31,982
2,1.0e-6,0.0001,21,950
3,1.0e-6,0.0001,30,891
1,1.0e-6,0.001,31,827
2,1.0e-6,0.001,21,811
3,1.0e-6,0.001,30,771
1,1.0e-6,0.01,31,661
2,1.0e-6,0.01,22,699
3,1.0e-6,0.01,29,592
1,1.0e-5,0.0,30,5857
2,1.0e-5,0.0,21,4954
3,1.0e-5,0.0,28,5740
1,1.0e-5,1.0e-20,30,2891
2,1.0e-5,1.0e-20,21,2445
3,1.0e-5,1.0e-20,28,2568
1,1.0e-5,1.0e-19,30,2823
2,1.0e-5,1.0e-19,21,2410
3,1.0e-5,1.0e-19,28,2523
1,1.0e-5,1.0e-18,30,2749
2,1.0e-5,1.0e-18,21,2352
3,1.0e-5,1.0e-18,28,2449
1,1.0e-5,1.0e-17,30,2647
2,1.0e-5,1.0e-17,21,2256
3,1.0e-5,1.0e-17,28,2364
1,1.0e-5,1.0e-16,30,2474
2,1.0e-5,1.0e-16,21,2142
3,1.0e-5,1.0e-16,28,2245
1,1.0e-5,1.0e-15,30,2345
2,1.0e-5,1.0e-15,21,1998
3,1.0e-5,1.0e-15,28,2033
1,1.0e-5,1.0e-14,30,2219
2,1.0e-5,1.0e-14,21,1886
3,1.0e-5,1.0e-14,28,1915
1,1.0e-5,1.0e-13,30,2104
2,1.0e-5,1.0e-13,21,1769
3,1.0e-5,1.0e-13,28,1809
1,1.0e-5,1.0e-12,30,2008
2,1.0e-5,1.0e-12,21,1687
3,1.0e-5,1.0e-12,28,1684
1,1.0e-5,1.0e-11,30,1909
2,1.0e-5,1.0e-11,21,1577
3,1.0e-5,1.0e-11,28,1560
1,1.0e-5,1.0e-10,30,1806
2,1.0e-5,1.0e-10,21,1469
3,1.0e-5,1.0e-10,28,1441
1,1.0e-5,1.0e-9,30,1677
2,1.0e-5,1.0e-9,21,1381
3,1.0e-5,1.0e-9,28,1345
1,1.0e-5,1.0e-8,30,1563
2,1.0e-5,1.0e-8,21,1287
3,1.0e-5,1.0e-8,28,1223
1,1.0e-5,1.0e-7,30,1453
2,1.0e-5,1.0e-7,21,1186
3,1.0e-5,1.0e-7,28,1102
1,1.0e-5,1.0e-6,30,1247
2,1.0e-5,1.0e-6,21,1104
3,1.0e-5,1.0e-6,28,1029
1,1.0e-5,1.0e-5,30,1128
2,1.0e-5,1.0e-5,21,1015
3,1.0e-5,1.0e-5,28,921
1,1.0e-5,0.0001,31,982
2,1.0e-5,0.0001,21,950
3,1.0e-5,0.0001,28,829
1,1.0e-5,0.001,31,827
2,1.0e-5,0.001,21,811
3,1.0e-5,0.001,28,716
1,1.0e-5,0.01,31,661
2,1.0e-5,0.01,22,699
3,1.0e-5,0.01,28,576
1,0.0001,0.0,28,5373
2,0.0001,0.0,20,4755
3,0.0001,0.0,28,5740
1,0.0001,1.0e-20,28,2660
2,0.0001,1.0e-20,20,2355
3,0.0001,1.0e-20,28,2568
1,0.0001,1.0e-19,28,2594
2,0.0001,1.0e-19,20,2319
3,0.0001,1.0e-19,28,2523
1,0.0001,1.0e-18,28,2526
2,0.0001,1.0e-18,20,2264
3,0.0001,1.0e-18,28,2449
1,0.0001,1.0e-17,28,2438
2,0.0001,1.0e-17,20,2171
3,0.0001,1.0e-17,28,2364
1,0.0001,1.0e-16,28,2292
2,0.0001,1.0e-16,20,2066
3,0.0001,1.0e-16,28,2245
1,0.0001,1.0e-15,28,2150
2,0.0001,1.0e-15,20,1921
3,0.0001,1.0e-15,28,2033
1,0.0001,1.0e-14,28,2039
2,0.0001,1.0e-14,20,1821
3,0.0001,1.0e-14,28,1915
1,0.0001,1.0e-13,28,1935
2,0.0001,1.0e-13,20,1709
3,0.0001,1.0e-13,28,1809
1,0.0001,1.0e-12,28,1843
2,0.0001,1.0e-12,20,1627
3,0.0001,1.0e-12,28,1684
1,0.0001,1.0e-11,28,1754
2,0.0001,1.0e-11,20,1520
3,0.0001,1.0e-11,28,1560
1,0.0001,1.0e-10,28,1689
2,0.0001,1.0e-10,20,1423
3,0.0001,1.0e-10,28,1441
1,0.0001,1.0e-9,28,1568
2,0.0001,1.0e-9,20,1332
3,0.0001,1.0e-9,28,1345
1,0.0001,1.0e-8,28,1462
2,0.0001,1.0e-8,20,1239
3,0.0001,1.0e-8,28,1223
1,0.0001,1.0e-7,28,1353
2,0.0001,1.0e-7,20,1150
3,0.0001,1.0e-7,28,1102
1,0.0001,1.0e-6,28,1155
2,0.0001,1.0e-6,20,1068
3,0.0001,1.0e-6,28,1029
1,0.0001,1.0e-5,28,1044
2,0.0001,1.0e-5,20,983
3,0.0001,1.0e-5,28,921
1,0.0001,0.0001,30,946
2,0.0001,0.0001,20,921
3,0.0001,0.0001,28,829
1,0.0001,0.001,29,763
2,0.0001,0.001,20,786
3,0.0001,0.001,28,716
1,0.0001,0.01,29,607
2,0.0001,0.01,20,627
3,0.0001,0.01,28,576
1,0.001,0.0,28,5373
2,0.001,0.0,19,4511
3,0.001,0.0,26,5269
1,0.001,1.0e-20,28,2660
2,0.001,1.0e-20,19,2224
3,0.001,1.0e-20,26,2344
1,0.001,1.0e-19,28,2594
2,0.001,1.0e-19,19,2189
3,0.001,1.0e-19,26,2303
1,0.001,1.0e-18,28,2526
2,0.001,1.0e-18,19,2139
3,0.001,1.0e-18,26,2235
1,0.001,1.0e-17,28,2438
2,0.001,1.0e-17,19,2049
3,0.001,1.0e-17,26,2160
1,0.001,1.0e-16,28,2292
2,0.001,1.0e-16,19,1952
3,0.001,1.0e-16,26,2054
1,0.001,1.0e-15,28,2150
2,0.001,1.0e-15,19,1812
3,0.001,1.0e-15,26,1857
1,0.001,1.0e-14,28,2039
2,0.001,1.0e-14,19,1721
3,0.001,1.0e-14,26,1755
1,0.001,1.0e-13,28,1935
2,0.001,1.0e-13,19,1614
3,0.001,1.0e-13,26,1645
1,0.001,1.0e-12,28,1843
2,0.001,1.0e-12,19,1527
3,0.001,1.0e-12,26,1565
1,0.001,1.0e-11,28,1754
2,0.001,1.0e-11,19,1434
3,0.001,1.0e-11,26,1448
1,0.001,1.0e-10,28,1689
2,0.001,1.0e-10,19,1335
3,0.001,1.0e-10,26,1332
1,0.001,1.0e-9,28,1568
2,0.001,1.0e-9,19,1250
3,0.001,1.0e-9,26,1228
1,0.001,1.0e-8,28,1462
2,0.001,1.0e-8,19,1162
3,0.001,1.0e-8,26,1127
1,0.001,1.0e-7,28,1353
2,0.001,1.0e-7,19,1078
3,0.001,1.0e-7,26,1015
1,0.001,1.0e-6,28,1155
2,0.001,1.0e-6,19,998
3,0.001,1.0e-6,26,948
1,0.001,1.0e-5,28,1044
2,0.001,1.0e-5,19,919
3,0.001,1.0e-5,26,849
1,0.001,0.0001,29,907
2,0.001,0.0001,19,865
3,0.001,0.0001,26,767
1,0.001,0.001,29,763
2,0.001,0.001,19,733
3,0.001,0.001,26,661
1,0.001,0.01,28,580
2,0.001,0.01,20,627
3,0.001,0.01,26,531
1,0.01,0.0,27,5142
2,0.01,0.0,18,4294
3,0.01,0.0,26,5269
1,0.01,1.0e-20,27,2554
2,0.01,1.0e-20,18,2130
3,0.01,1.0e-20,26,2344
1,0.01,1.0e-19,27,2491
2,0.01,1.0e-19,18,2099
3,0.01,1.0e-19,26,2303
1,0.01,1.0e-18,27,2426
2,0.01,1.0e-18,18,2052
3,0.01,1.0e-18,26,2235
1,0.01,1.0e-17,27,2332
2,0.01,1.0e-17,18,1966
3,0.01,1.0e-17,26,2160
1,0.01,1.0e-16,27,2207
2,0.01,1.0e-16,18,1878
3,0.01,1.0e-16,26,2054
1,0.01,1.0e-15,27,2065
2,0.01,1.0e-15,18,1753
3,0.01,1.0e-15,26,1857
1,0.01,1.0e-14,27,1959
2,0.01,1.0e-14,18,1666
3,0.01,1.0e-14,26,1755
1,0.01,1.0e-13,27,1855
2,0.01,1.0e-13,18,1560
3,0.01,1.0e-13,26,1645
1,0.01,1.0e-12,27,1776
2,0.01,1.0e-12,18,1474
3,0.01,1.0e-12,26,1565
1,0.01,1.0e-11,27,1692
2,0.01,1.0e-11,18,1386
3,0.01,1.0e-11,26,1448
1,0.01,1.0e-10,27,1623
2,0.01,1.0e-10,18,1292
3,0.01,1.0e-10,26,1332
1,0.01,1.0e-9,27,1510
2,0.01,1.0e-9,18,1215
3,0.01,1.0e-9,26,1228
1,0.01,1.0e-8,27,1402
2,0.01,1.0e-8,18,1129
3,0.01,1.0e-8,26,1127
1,0.01,1.0e-7,27,1302
2,0.01,1.0e-7,18,1045
3,0.01,1.0e-7,26,1015
1,0.01,1.0e-6,27,1107
2,0.01,1.0e-6,18,973
3,0.01,1.0e-6,26,948
1,0.01,1.0e-5,27,1001
2,0.01,1.0e-5,18,898
3,0.01,1.0e-5,26,849
1,0.01,0.0001,29,907
2,0.01,0.0001,18,846
3,0.01,0.0001,26,767
1,0.01,0.001,28,729
2,0.01,0.001,18,718
3,0.01,0.001,26,661
1,0.01,0.01,28,580
2,0.01,0.01,18,562
3,0.01,0.01,26,531
