params,LSatus,UStatus,LBound,UBound,LCount,UCount,TotCount,InitValues,MeanCount
λ,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.0064279027637593866,0.019684678220266153,327,376,703,0.01053235563279569,895.06
K,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,91.59812608553784,109.45270693326796,382,512,894,100.06748817567728,1111.18
C0,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,1.1171566113456812,21.260559784046862,275,874,1149,8.820501748728539,967.46
