iter,θindices,method,num_points,optimisation_calls,likelihood_calls
19,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",365,782,78785
19,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",363,804,74843
19,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",370,792,77663
20,"[1, 2]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",385,797,81123
20,"[1, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",383,825,75915
20,"[2, 3]","IterativeBoundaryMethod(10, 5, 5, 0.15, 0.1, true)",390,815,79848
21,"[1, 2]",Latin Hypercube,22,100,10308
21,"[1, 3]",Latin Hypercube,16,100,9380
21,"[2, 3]",Latin Hypercube,37,100,9972
22,"[1, 2]",Latin Hypercube,39,200,21720
22,"[1, 3]",Latin Hypercube,29,200,19170
22,"[2, 3]",Latin Hypercube,72,200,19769
23,"[1, 2]",Latin Hypercube,66,300,32197
23,"[1, 3]",Latin Hypercube,56,300,26747
23,"[2, 3]",Latin Hypercube,109,300,29314
24,"[1, 2]",Latin Hypercube,91,400,42344
24,"[1, 3]",Latin Hypercube,67,400,36701
24,"[2, 3]",Latin Hypercube,139,400,39279
25,"[1, 2]",Latin Hypercube,110,500,53233
25,"[1, 3]",Latin Hypercube,95,500,45408
25,"[2, 3]",Latin Hypercube,162,500,50091
26,"[1, 2]",Latin Hypercube,133,600,63761
26,"[1, 3]",Latin Hypercube,108,600,55709
26,"[2, 3]",Latin Hypercube,203,600,58291
27,"[1, 2]",Latin Hypercube,145,700,74579
27,"[1, 3]",Latin Hypercube,109,700,63881
27,"[2, 3]",Latin Hypercube,246,700,68724
28,"[1, 2]",Latin Hypercube,179,800,84579
28,"[1, 3]",Latin Hypercube,131,800,73894
28,"[2, 3]",Latin Hypercube,267,800,78557
29,"[1, 2]",Latin Hypercube,204,900,94657
29,"[1, 3]",Latin Hypercube,149,900,84120
29,"[2, 3]",Latin Hypercube,311,900,88809
30,"[1, 2]",Latin Hypercube,209,1000,106608
30,"[1, 3]",Latin Hypercube,153,1000,92592
30,"[2, 3]",Latin Hypercube,348,1000,99087
31,"[1, 2]",Latin Hypercube,218,1100,116610
31,"[1, 3]",Latin Hypercube,202,1100,101754
31,"[2, 3]",Latin Hypercube,378,1100,109164
32,"[1, 2]",Latin Hypercube,263,1200,127448
32,"[1, 3]",Latin Hypercube,222,1200,111893
32,"[2, 3]",Latin Hypercube,417,1200,119758
33,"[1, 2]",Latin Hypercube,290,1300,137855
33,"[1, 3]",Latin Hypercube,227,1300,120700
33,"[2, 3]",Latin Hypercube,446,1300,127706
34,"[1, 2]",Latin Hypercube,308,1400,149883
34,"[1, 3]",Latin Hypercube,230,1400,129017
34,"[2, 3]",Latin Hypercube,474,1400,137829
35,"[1, 2]",Latin Hypercube,317,1500,158053
35,"[1, 3]",Latin Hypercube,270,1500,139227
35,"[2, 3]",Latin Hypercube,525,1500,150208
36,"[1, 2]",Latin Hypercube,345,1600,169552
36,"[1, 3]",Latin Hypercube,285,1600,148477
36,"[2, 3]",Latin Hypercube,551,1600,157130
37,"[1, 2]",Latin Hypercube,347,1700,179203
37,"[1, 3]",Latin Hypercube,284,1700,160068
37,"[2, 3]",Latin Hypercube,587,1700,165967
38,"[1, 2]",Latin Hypercube,383,1800,190374
38,"[1, 3]",Latin Hypercube,289,1800,165754
38,"[2, 3]",Latin Hypercube,630,1800,176052
39,"[1, 2]",Latin Hypercube,415,1900,201622
39,"[1, 3]",Latin Hypercube,325,1900,174904
39,"[2, 3]",Latin Hypercube,660,1900,188382
40,"[1, 2]",Latin Hypercube,434,2000,211197
40,"[1, 3]",Latin Hypercube,332,2000,187415
40,"[2, 3]",Latin Hypercube,677,2000,198014
41,"[1, 2]",Latin Hypercube,456,2100,222153
41,"[1, 3]",Latin Hypercube,393,2100,193931
41,"[2, 3]",Latin Hypercube,729,2100,207586
42,"[1, 2]",Latin Hypercube,481,2200,234342
42,"[1, 3]",Latin Hypercube,313,2200,202215
42,"[2, 3]",Latin Hypercube,771,2200,218266
43,"[1, 2]",Latin Hypercube,503,2300,246586
43,"[1, 3]",Latin Hypercube,380,2300,211956
43,"[2, 3]",Latin Hypercube,788,2300,228186
44,"[1, 2]",Latin Hypercube,500,2400,254509
44,"[1, 3]",Latin Hypercube,392,2400,223978
44,"[2, 3]",Latin Hypercube,814,2400,238940
45,"[1, 2]",Latin Hypercube,510,2500,266705
45,"[1, 3]",Latin Hypercube,412,2500,232521
45,"[2, 3]",Latin Hypercube,865,2500,247053
46,"[1, 2]",Latin Hypercube,560,2600,276861
46,"[1, 3]",Latin Hypercube,442,2600,239292
46,"[2, 3]",Latin Hypercube,883,2600,257349
47,"[1, 2]",Latin Hypercube,575,2700,286674
47,"[1, 3]",Latin Hypercube,445,2700,251895
47,"[2, 3]",Latin Hypercube,936,2700,267211
48,"[1, 2]",Latin Hypercube,606,2800,296879
48,"[1, 3]",Latin Hypercube,474,2800,261385
48,"[2, 3]",Latin Hypercube,977,2800,275548
49,"[1, 2]",Latin Hypercube,645,2900,307557
49,"[1, 3]",Latin Hypercube,480,2900,269876
49,"[2, 3]",Latin Hypercube,1002,2900,288186
50,"[1, 2]",Latin Hypercube,639,3000,317295
50,"[1, 3]",Latin Hypercube,523,3000,279237
50,"[2, 3]",Latin Hypercube,1045,3000,296297
