parameter,algo_key,optimisation_calls,likelihood_calls
1,1,40,2760
2,1,33,2677
3,1,38,2305
1,2,26,1925
2,2,22,1796
3,2,38,2382
1,3,27,2022
2,3,22,1805
3,3,38,2370
1,4,28,1843
2,4,19,1527
3,4,26,1565
1,5,29,1926
2,5,20,1684
3,5,24,1412
1,6,38,2976
2,6,42,3331
3,6,32,2138
1,7,26,1950
2,7,26,2153
3,7,24,1568
1,8,23,1660
2,8,21,1736
3,8,20,1242
