θnames,θindices,coverage,coverage_lb,coverage_ub,num_boundary_points
"[:λ, :K]","[1, 2]",0.941,0.9245509269157592,0.9547866455972034,50
"[:λ, :C0]","[1, 3]",0.952,0.9368598845984908,0.9643997346571167,50
"[:K, :C0]","[2, 3]",0.944,0.9278922537167472,0.9574244503133829,50
