θindices,method_key,num_points,optimisation_calls,likelihood_calls
"[1, 2]",6,40,487,53525
"[1, 3]",6,40,439,39103
"[2, 3]",6,40,495,47364
"[1, 2]",6,50,612,66986
"[1, 3]",6,50,567,50239
"[2, 3]",6,50,610,58304
"[1, 2]",6,60,712,78179
"[1, 3]",6,60,689,60746
"[2, 3]",6,60,743,70994
"[1, 2]",6,70,812,89437
"[1, 3]",6,70,797,70386
"[2, 3]",6,70,868,82997
"[1, 2]",6,80,880,96799
"[1, 3]",6,80,888,78559
"[2, 3]",6,80,968,92897
"[1, 2]",6,90,948,104031
"[1, 3]",6,90,968,85541
"[2, 3]",6,90,1094,104787
"[1, 2]",6,100,1023,112569
"[1, 3]",6,100,1022,90370
"[2, 3]",6,100,1192,113748
