θindices,mean_optimisation_calls,mean_likelihood_calls
"[1, 2]",164.14,7662.32
"[1, 3]",160.92,7804.41
"[1, 4]",167.37,8468.55
"[2, 3]",163.86,8407.91
"[2, 4]",169.41,8268.38
"[3, 4]",166.18,7668.37
