θindices,mean_optimisation_calls,mean_likelihood_calls
"[1, 2]",261.71,25647.28
"[1, 3]",262.67,25922.3
"[1, 4]",255.72,22692.38
"[2, 3]",250.6,23572.44
"[2, 4]",301.25,34485.65
"[3, 4]",250.19,24375.01
