θindices,mean_optimisation_calls,mean_likelihood_calls
"[1, 2]",86.01,4027.53
"[1, 3]",88.26,4395.04
"[1, 4]",84.65,4250.26
"[2, 3]",81.27,3710.77
"[2, 4]",82.82,4277.11
"[3, 4]",81.44,3879.76
