θname,θindex,coverage,coverage_lb,coverage_ub
α,1,0.945,0.9290084844579425,0.958301204920464
β,2,0.951,0.9357339468598304,0.9635329408279522
x0,3,0.931,0.9134848906542884,0.9459206642067437
y0,4,0.936,0.919004925632949,0.9503669107081509
