θindices,mean_optimisation_calls,mean_likelihood_calls
"[1, 2]",254.85,24712.78
"[1, 3]",262.57,25847.85
"[1, 4]",253.47,22180.64
"[2, 3]",246.63,22882.13
"[2, 4]",264.07,27804.82
"[3, 4]",250.73,24549.57
