t,y_true1,y_true2,y_obs1,y_obs2
0.0,0.8,0.3,0.9854813624469578,0.22499683615346422
0.5,1.0808739617129608,0.3040657908243362,1.0196357579217112,0.26049354068644875
1.0,1.4377383678269522,0.36760789075570866,1.2805427552079596,0.37516210815689127
1.5,1.8066637831865031,0.5456394969842764,1.922922134230552,0.35702314293310977
2.0,1.9724819361179071,0.9518956266806893,2.025632762225727,0.8033921307909203
2.5,1.6417196393799207,1.5987807260216151,1.4123530445271393,1.7811885492267199
3.0,1.0195199634826213,2.015630072094755,1.5408627236475994,2.0437207949636185
3.5,0.5928038748312353,1.8794733588204517,0.674041788655106,1.6269880155748953
4.0,0.399349198587884,1.4859342113733305,0.1808352625182042,1.4522743166680563
4.5,0.3290121480844968,1.097127120291869,0.43519480829572066,1.1262071155337998
5.0,0.3227923139713797,0.7943146493999058,0.7408913969475281,0.935848348403767
5.5,0.3602218295901837,0.5802704511080348,0.37145272715045957,0.8644032648636123
6.0,0.439166530535533,0.4375871792246903,-0.0725441447164824,0.16039340914663436
6.5,0.566857587291642,0.3492366106105963,0.6480905181649455,0.5183302411515698
7.0,0.7564763810298739,0.3037717023334657,0.5352433597103065,0.320672345926673
7.5,1.021914116613962,0.29942155445544066,0.8489118307462029,0.6547729963694482
8.0,1.3670225534277456,0.3490381355335386,1.1639688287940015,0.22496279106666695
8.5,1.7461516120240024,0.4979966927334114,1.9010157454917151,0.3546382561606482
9.0,1.9713369624430803,0.855470192496201,1.799309152745617,0.8013299787627423
9.5,1.7398535115944616,1.4761022692043906,1.6747157913277548,1.0599493539799079
10.0,1.1316714852756966,1.9794632751046661,1.0620286358114193,1.739017950436295
