θname,θindex,coverage,coverage_lb,coverage_ub
Epo_degradation_BaF3,1,1.0,0.9637833073548235,1.0
k_exp_hetero,2,1.0,0.9637833073548235,1.0
k_exp_homo,3,0.95,0.8871650888945373,0.9835681208179479
k_imp_hetero,4,1.0,0.9637833073548235,1.0
k_imp_homo,5,1.0,0.9637833073548235,1.0
k_phos,6,0.92,0.848442364135579,0.9648284374818372
σ_pSTAT5A_rel,7,0.87,0.7879593229125502,0.9289269538145705
σ_pSTAT5B_rel,8,0.91,0.8360177449703649,0.9580164043716077
σ_rSTAT5A_rel,9,0.97,0.91482394702572,0.9937700284616936
