θname,θindices,n_random_combinations,simultaneous_coverage_reference_sets,coverage_reference_sets_lb,coverage_reference_sets_ub,pointwise_coverage_reference_sets,simultaneous_coverage_realisations,coverage_realisations_lb,coverage_realisations_ub,simultaneous_coverage_realisations_alternate,coverage_realisations_alternate_lb,coverage_realisations_alternate_ub,pointwise_coverage_realisations,num_points
"[:λ, :K, :C0, :σ]","[1, 2, 3, 4]",0,0.962,0.9482128963780359,0.9729711840170161,"[0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.988, 0.988, 0.988, 0.988, 0.989, 0.989, 0.99, 0.99, 0.989, 0.989, 0.989, 0.99, 0.99, 0.99, 0.99, 0.99, 0.989, 0.99, 0.99, 0.99, 0.989, 0.989, 0.988, 0.989, 0.988, 0.988, 0.988, 0.987, 0.987, 0.988, 0.988, 0.988, 0.987, 0.986, 0.986, 0.986, 0.986, 0.986, 0.985, 0.985, 0.984, 0.983, 0.983, 0.983, 0.983, 0.983, 0.983, 0.983, 0.982, 0.982, 0.982, 0.982, 0.982, 0.982, 0.982, 0.982, 0.982, 0.983, 0.984, 0.984, 0.984, 0.984, 0.984, 0.985, 0.985, 0.984, 0.984, 0.984, 0.984, 0.984, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985, 0.986, 0.986, 0.986, 0.985, 0.985, 0.985, 0.986, 0.986, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.986, 0.986, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985, 0.986, 0.987, 0.988, 0.988, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.99, 0.99, 0.99, 0.99, 0.99, 0.991, 0.993, 0.993, 0.993, 0.993, 0.993, 0.994, 0.994, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.994, 0.993, 0.993, 0.993, 0.993, 0.992, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.992, 0.992, 0.992, 0.992, 0.991, 0.991, 0.99, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989]",0.825,0.800003174430663,0.8480659670904693,0.999,0.9944410757201734,0.9999746825125088,"[0.997, 0.999, 0.998, 0.999, 0.996, 0.998, 0.999, 0.997, 0.999, 0.999, 0.998, 0.998, 0.997, 0.996, 0.998, 0.999, 0.999, 0.998, 0.997, 1.0, 0.999, 0.999, 0.999, 1.0, 0.997, 1.0, 0.998, 0.999, 0.997, 1.0, 0.999, 0.998, 0.998, 1.0, 1.0, 0.998, 1.0, 0.997, 0.997, 0.996, 0.999, 0.994, 0.999, 0.998, 0.997, 0.997, 0.996, 1.0, 0.998, 0.998, 1.0, 0.999, 0.998, 0.999, 0.997, 0.998, 0.999, 1.0, 0.997, 1.0, 0.998, 0.999, 0.999, 0.997, 0.998, 0.997, 0.997, 0.998, 0.997, 1.0, 0.995, 1.0, 0.999, 0.998, 1.0, 0.997, 0.999, 0.997, 0.997, 0.996, 0.999, 0.999, 0.999, 0.997, 0.999, 0.997, 0.999, 0.999, 1.0, 0.999, 1.0, 0.999, 0.996, 0.999, 1.0, 0.999, 0.997, 0.999, 1.0, 0.998, 0.998, 0.999, 0.996, 0.998, 0.994, 0.996, 0.996, 0.997, 0.996, 0.997, 0.998, 0.996, 0.998, 0.999, 0.996, 0.998, 0.998, 1.0, 0.998, 0.999, 0.996, 0.999, 0.999, 0.995, 0.995, 0.996, 0.998, 0.996, 0.999, 0.998, 0.996, 0.999, 1.0, 0.995, 0.999, 1.0, 0.998, 0.996, 0.998, 0.999, 0.997, 0.999, 0.996, 0.999, 0.999, 0.999, 0.997, 0.999, 0.997, 0.997, 0.996, 0.999, 0.999, 1.0, 0.994, 0.996, 0.997, 1.0, 0.999, 1.0, 0.998, 1.0, 0.999, 0.999, 0.999, 0.998, 1.0, 0.997, 0.997, 1.0, 1.0, 0.998, 0.995, 0.998, 0.999, 0.999, 0.998, 0.995, 0.998, 0.998, 0.999, 0.999, 0.999, 0.999, 0.997, 0.996, 0.999, 1.0, 0.999, 0.998, 0.998, 1.0, 0.999, 0.998, 0.996, 0.998, 0.999, 0.996, 0.993, 0.998, 0.996]",50000
"[:λ, :K, :C0, :σ]","[1, 2, 3, 4]",0,0.962,0.9482128963780359,0.9729711840170161,"[0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.988, 0.988, 0.988, 0.989, 0.989, 0.99, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.99, 0.99, 0.989, 0.99, 0.99, 0.99, 0.99, 0.99, 0.989, 0.989, 0.989, 0.988, 0.988, 0.987, 0.988, 0.989, 0.989, 0.988, 0.988, 0.986, 0.986, 0.986, 0.986, 0.987, 0.986, 0.986, 0.986, 0.986, 0.984, 0.984, 0.984, 0.984, 0.985, 0.985, 0.985, 0.984, 0.983, 0.982, 0.982, 0.982, 0.982, 0.982, 0.983, 0.983, 0.983, 0.983, 0.984, 0.984, 0.985, 0.985, 0.985, 0.984, 0.984, 0.984, 0.984, 0.984, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985, 0.987, 0.986, 0.986, 0.985, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.987, 0.987, 0.987, 0.987, 0.986, 0.986, 0.984, 0.986, 0.986, 0.985, 0.985, 0.985, 0.985, 0.986, 0.987, 0.987, 0.987, 0.988, 0.989, 0.989, 0.989, 0.99, 0.991, 0.991, 0.991, 0.991, 0.99, 0.99, 0.99, 0.99, 0.991, 0.991, 0.992, 0.992, 0.992, 0.992, 0.994, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.994, 0.994, 0.994, 0.993, 0.993, 0.993, 0.993, 0.994, 0.994, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.992, 0.992, 0.992, 0.992, 0.992, 0.991, 0.991, 0.991, 0.991, 0.991, 0.992, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]",0.829,0.8042047464024096,0.851840151816802,0.999,0.9944410757201734,0.9999746825125088,"[0.997, 0.999, 0.998, 0.999, 0.996, 0.998, 0.999, 0.997, 0.999, 1.0, 0.998, 0.998, 0.998, 0.996, 0.998, 0.999, 0.999, 0.998, 0.997, 1.0, 0.999, 0.999, 0.999, 1.0, 0.997, 1.0, 0.998, 0.999, 0.997, 1.0, 0.999, 0.998, 0.998, 1.0, 1.0, 0.998, 1.0, 0.997, 0.998, 0.996, 0.999, 0.994, 0.999, 0.998, 0.997, 0.997, 0.996, 1.0, 0.998, 0.998, 1.0, 0.999, 0.998, 0.999, 0.997, 0.998, 0.999, 1.0, 0.997, 1.0, 0.998, 0.999, 0.999, 0.997, 0.998, 0.997, 0.997, 0.999, 0.997, 1.0, 0.994, 1.0, 0.999, 0.998, 1.0, 0.997, 0.999, 0.998, 0.997, 0.996, 0.999, 0.999, 0.999, 0.998, 0.999, 0.997, 0.999, 0.999, 1.0, 0.999, 1.0, 0.999, 0.996, 0.999, 1.0, 0.999, 0.997, 0.999, 1.0, 0.998, 0.998, 0.999, 0.996, 0.998, 0.995, 0.996, 0.995, 0.997, 0.996, 0.998, 0.998, 0.997, 0.998, 1.0, 0.996, 0.998, 0.998, 1.0, 0.998, 0.999, 0.996, 0.999, 0.999, 0.995, 0.995, 0.996, 0.998, 0.996, 0.999, 0.998, 0.995, 0.999, 1.0, 0.995, 0.999, 1.0, 0.998, 0.996, 0.998, 0.999, 0.997, 0.999, 0.997, 0.999, 0.999, 0.999, 0.997, 0.999, 0.997, 0.997, 0.996, 0.999, 0.999, 1.0, 0.994, 0.996, 0.997, 1.0, 0.999, 1.0, 0.998, 1.0, 0.999, 0.999, 0.999, 0.998, 1.0, 0.997, 0.997, 1.0, 1.0, 0.998, 0.995, 0.998, 0.999, 0.999, 0.998, 0.995, 0.998, 0.998, 0.999, 0.999, 0.999, 0.999, 0.998, 0.996, 0.999, 1.0, 0.999, 0.998, 0.998, 1.0, 0.999, 0.998, 0.997, 0.998, 0.999, 0.996, 0.993, 0.998, 0.996]",100000
"[:λ, :K, :C0, :σ]","[1, 2, 3, 4]",0,0.963,0.9493588769400751,0.9738172911562627,"[0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.988, 0.988, 0.988, 0.988, 0.988, 0.989, 0.99, 0.99, 0.99, 0.99, 0.989, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.989, 0.989, 0.989, 0.988, 0.99, 0.987, 0.988, 0.989, 0.989, 0.989, 0.988, 0.987, 0.986, 0.986, 0.987, 0.987, 0.987, 0.986, 0.985, 0.985, 0.983, 0.983, 0.983, 0.984, 0.984, 0.984, 0.984, 0.983, 0.982, 0.982, 0.982, 0.982, 0.982, 0.983, 0.983, 0.983, 0.984, 0.984, 0.985, 0.985, 0.985, 0.985, 0.985, 0.984, 0.984, 0.984, 0.984, 0.984, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985, 0.987, 0.987, 0.986, 0.986, 0.986, 0.986, 0.986, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.986, 0.986, 0.985, 0.985, 0.985, 0.985, 0.985, 0.988, 0.989, 0.989, 0.989, 0.989, 0.989, 0.99, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.992, 0.993, 0.993, 0.993, 0.994, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995, 0.994, 0.993, 0.993, 0.994, 0.994, 0.994, 0.994, 0.994, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.992, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]",0.829,0.8042047464024096,0.851840151816802,0.999,0.9944410757201734,0.9999746825125088,"[0.997, 0.999, 0.998, 0.999, 0.996, 0.998, 0.999, 0.997, 0.999, 0.999, 0.998, 0.998, 0.997, 0.996, 0.997, 0.999, 0.999, 0.999, 0.997, 1.0, 0.999, 0.999, 0.999, 1.0, 0.997, 1.0, 0.998, 0.999, 0.998, 1.0, 0.999, 0.998, 0.998, 1.0, 1.0, 0.998, 1.0, 0.997, 0.998, 0.996, 0.999, 0.994, 0.999, 0.998, 0.997, 0.997, 0.996, 1.0, 0.998, 0.998, 1.0, 0.999, 0.998, 0.999, 0.997, 0.998, 0.999, 1.0, 0.997, 1.0, 0.998, 0.999, 0.999, 0.997, 0.998, 0.997, 0.997, 0.999, 0.997, 1.0, 0.994, 1.0, 0.999, 0.999, 0.999, 0.997, 0.999, 0.998, 0.997, 0.996, 0.999, 0.999, 0.999, 0.998, 0.999, 0.997, 0.999, 0.999, 1.0, 0.999, 1.0, 0.999, 0.997, 0.999, 1.0, 0.999, 0.997, 0.999, 1.0, 0.998, 0.998, 0.999, 0.996, 0.998, 0.995, 0.996, 0.996, 0.997, 0.996, 0.997, 0.998, 0.997, 0.998, 0.999, 0.996, 0.998, 0.998, 1.0, 0.998, 0.999, 0.997, 0.999, 0.999, 0.995, 0.995, 0.996, 0.999, 0.996, 0.999, 0.998, 0.995, 0.999, 1.0, 0.995, 0.999, 1.0, 0.998, 0.996, 0.998, 0.999, 0.997, 0.999, 0.997, 0.999, 0.999, 0.999, 0.997, 0.999, 0.997, 0.997, 0.996, 0.999, 0.999, 1.0, 0.994, 0.996, 0.998, 1.0, 0.999, 1.0, 0.998, 1.0, 0.999, 0.999, 0.999, 0.998, 1.0, 0.997, 0.997, 1.0, 1.0, 0.998, 0.995, 0.998, 0.999, 0.999, 0.998, 0.995, 0.998, 0.998, 0.999, 0.999, 0.999, 0.999, 0.999, 0.996, 0.999, 1.0, 0.999, 0.998, 0.998, 1.0, 0.999, 0.998, 0.997, 0.998, 0.999, 0.996, 0.993, 0.998, 0.996]",200000
