θname,θindex,coverage,coverage_lb,coverage_ub
λ1,1,0.945,0.9290084844579425,0.958301204920464
λ2,2,0.945,0.9290084844579425,0.958301204920464
δ,3,0.96,0.9459273031806316,0.9712723747141092
K,4,0.947,0.9312448167100368,0.9600507476399807
C01,5,0.948,0.9323649859494927,0.9609234650560196
C02,6,0.949,0.9334865384050652,0.9617947632253139
σ,7,0.864,0.8411813690859783,0.8846498223761183
