θname,θindex,coverage,coverage_lb,coverage_ub
λ1,1,0.941,0.9245509269157592,0.9547866455972034
λ2,2,0.949,0.9334865384050652,0.9617947632253139
δ,3,0.966,0.9528105613842925,0.9763413518924032
K,4,0.955,0.9402471673065922,0.9669903745688513
C01,5,0.941,0.9245509269157592,0.9547866455972034
C02,6,0.946,0.9301259944229326,0.9591766488743693
σ,7,0.942,0.9256635046176483,0.9556671397471793
