θname,θindex,coverage,coverage_lb,coverage_ub
λ1,1,0.941,0.9245509269157592,0.9547866455972034
λ2,2,0.945,0.9290084844579425,0.958301204920464
δ,3,0.936,0.919004925632949,0.9503669107081509
K,4,0.94,0.9234395095960652,0.9539049645775157
C01,5,0.946,0.9301259944229326,0.9591766488743693
C02,6,0.941,0.9245509269157592,0.9547866455972034
σ,7,0.945,0.9290084844579425,0.958301204920464
