parameter,mean_optimisation_calls,mean_likelihood_calls
1,16.57,6463.73
2,15.46,8429.52
3,15.93,8714.4
4,14.14,7421.52
5,16.7,8401.42
6,14.62,7130.61
7,17.12,2612.16
