params,LSatus,UStatus,LBound,UBound,LCount,UCount,TotCount,InitValues,MeanCount
λ1,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.002128707885723094,0.0032226279775700774,2547,1732,4279,0.0026337341969660043,2454.12
λ2,SCAN_BOUND_REACHED,BORDER_FOUND_BY_SCAN_TOL,NaN,0.0009728286375782653,67,1459,1526,0.00035989818095254726,3967.57
δ,SCAN_BOUND_REACHED,BORDER_FOUND_BY_SCAN_TOL,NaN,0.0010198462231982906,54,2335,2389,0.0003982196730233526,3757.03
K,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,71.01228597622824,90.68766377123882,1987,1598,3585,81.2555044917647,3015.99
C01,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.1801127648183644,0.8006525041101361,898,1590,2488,0.3835251218638633,1893.75
C02,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.5511377565192008,2.374498618476698,1973,2007,3980,1.1941623186075485,2772.33
σ,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.3448135946041618,0.6255418078446757,632,1166,1798,0.45081437466881524,1086.56
