θname,θindex,coverage,coverage_lb,coverage_ub
λ1,1,0.922,0.903606366597417,0.937858786867286
λ2,2,0.949,0.9334865384050652,0.9617947632253139
δ,3,0.94,0.9234395095960652,0.9539049645775157
K,4,0.928,0.9101842508246492,0.9432413124454383
C01,5,0.922,0.903606366597417,0.937858786867286
C02,6,0.958,0.9436497084242552,0.96956529373686
σ,7,0.898,0.877554848934442,0.9160645399595132
