θname,θindex,coverage,coverage_lb,coverage_ub
λ1,1,0.91,0.8360177449703649,0.9580164043716077
λ2,2,0.9,0.8237774022599773,0.9509953107785141
δ,3,0.94,0.873970065419177,0.9776651139286836
KK,4,0.89,0.8116988678035574,0.9437929797145126
C01,5,0.89,0.8116988678035574,0.9437929797145126
CO2,6,0.94,0.873970065419177,0.9776651139286836
σ,7,0.76,0.6642645107290015,0.8397753868285528
