θname,θindex,coverage,coverage_lb,coverage_ub
λ1,1,0.942,0.9256635046176483,0.9556671397471793
λ2,2,0.951,0.9357339468598304,0.9635329408279522
δ,3,0.945,0.9290084844579425,0.958301204920464
K,4,0.959,0.9447875406847007,0.9704198314659639
C01,5,0.938,0.9212200503389675,0.9521381518866388
C02,6,0.948,0.9323649859494927,0.9609234650560196
σ1,7,0.933,0.9156899628975586,0.9477021635999548
